filename,class
0.679:ID:GDR1_2162952470933669632.png,2
0.683:ID:GDR1_2162127562335172992.png,2
0.686:ID:GDR1_2067074301079809408.png,3
0.686:ID:GDR1_2162135327636039936.png,3
0.687:ID:GDR1_2162122339654917120.png,3
0.688:ID:FHK_580.png,2
0.691:ID:FHK_473.png,3
0.692:ID:GDR1_2163140315626346880.png,3
0.693:ID:GDR1_2162965287117378944.png,3
0.693:ID:GDR1_2163138601937119360.png,2
0.693:ID:GDR1_2163149214797802752.png,3
0.694:ID:GDR1_2162962985013647616.png,3
0.694:ID:GDR1_2163140315626344064.png,3
0.695:ID:FHK_490.png,2
0.698:ID:FHK_138.png,3
0.698:ID:GDR1_2067062618768745728.png,2
0.698:ID:GDR1_2162989201494332800.png,2
0.698:ID:GDR2_2067027228235955584.png,2
0.702:ID:GDR1_2162224147560188672.png,3
0.703:ID:FHK_344.png,2
0.703:ID:FHK_79.png,2
0.703:ID:GDR1_2067059732550905600.png,3
0.704:ID:GDR1_2161843098061857280.png,3
0.706:ID:GDR1_2163145984982389632.png,3
0.708:ID:GDR1_2162117563651224960.png,3
0.708:ID:GDR1_2162221673657766272.png,3
0.709:ID:FHK_115.png,3
0.709:ID:GDR1_2066790146043148928.png,3
0.709:ID:GDR1_2162872928138757248.png,3
0.709:ID:GDR1_2163136742213531520.png,3
0.715:ID:GDR1_2162904161141389696.png,3
0.718:ID:GDR1_2163136746511218176.png,3
0.721:ID:GDR1_2162944911791083136.png,3
0.725:ID:FHK_500.png,3
0.727:ID:FHK_45.png,3
0.727:ID:GDR1_2162951749379088640.png,3
0.727:ID:GDR1_2163140968460295680.png,3
0.728:ID:GDR1_2162947420052773760.png,3
0.729:ID:GDR1_2066844954118735744.png,2
0.732:ID:GDR1_2067128658184872064.png,3
0.733:ID:FHK_459.png,3
0.733:ID:PSO_J205818.503+435346.014.png,3
0.738:ID:FHK_32.png,3
0.738:ID:GDR1_2162091278451209472.png,3
0.739:ID:FHK_158.png,2
0.742:ID:FHK_164.png,3
0.745:ID:GDR1_2163144541882323584.png,3
0.751:ID:FHK_181.png,3
0.752:ID:GDR1_2163215391652091520.png,2
0.754:ID:FHK_562.png,3
0.756:ID:FHK_67.png,3
0.756:ID:GDR1_2163143481019730688.png,3
0.757:ID:FHK_575.png,3
0.761:ID:GDR1_2163155055959979392.png,3
0.771:ID:GDR1_2162127974652045056.png,1
0.777:ID:GDR1_2163141208978477312.png,3
0.778:ID:GDR1_2162946526698717056.png,3
0.782:ID:DPP2017_409.png,3
0.782:ID:FHK_272.png,3
0.782:ID:GDR1_2067030011373814272.png,3
0.782:ID:GDR1_2162984631649047936.png,3
0.783:ID:2MASS_J20510895+4416420.png,3
0.786:ID:GDR1_2162235795513138560.png,3
0.786:ID:GDR1_2163155227752761088.png,3
0.787:ID:GDR1_2162966146109606528.png,3
0.788:ID:GDR1_2162126325384584576.png,3
0.790:ID:GDR2_2163139804529410944.png,3
0.791:ID:FHK_434.png,3
0.796:ID:FHK_153.png,3
0.796:ID:GDR1_2162975698125115392.png,3
0.798:ID:GDR1_2162223086709799296.png,3
0.798:ID:GDR1_2163139937669407872.png,3
0.801:ID:FHK_255.png,2
0.802:ID:FHK_506.png,3
0.802:ID:GDR1_2162126187945624704.png,3
0.803:ID:FHK_163.png,3
0.803:ID:GDR1_2162931786370808448.png,3
0.804:ID:FHK_485.png,3
0.804:ID:GDR1_2162231676644797824.png,3
0.804:ID:GDR1_2162946767216898432.png,3
0.806:ID:FHK_460.png,2
0.809:ID:2MASS_J20512059+4420322.png,3
0.810:ID:2MASS_J20505543+4417461.png,3
0.810:ID:2MASS_J20582381+4353114.png,3
0.810:ID:FHK_44.png,3
0.811:ID:GDR1_2162947798009095808.png,3
0.811:ID:GDR1_2163138116611233408.png,2
0.811:ID:GDR1_2163169761929937280.png,3
0.813:ID:GDR1_2162939208074518912.png,3
0.813:ID:GDR1_2162947729289614848.png,3
0.813:ID:GDR1_2163144851111005056.png,3
0.814:ID:GDR1_2162902683672550912.png,3
0.815:ID:FHK_40.png,2
0.816:ID:2MASS_J20511455+4413379.png,3
0.816:ID:GDR1_2162909830498130048.png,3
0.818:ID:FHK_451.png,3
0.818:ID:GDR1_2066855807501721472.png,3
0.821:ID:GDR2_2162951684957670144.png,3
0.824:ID:FHK_455.png,3
0.825:ID:GDR1_2162949309837722880.png,3
0.827:ID:GDR1_2162988754817727232.png,3
0.828:ID:FHK_75.png,3
0.828:ID:GDR1_2162949378557095680.png,3
0.830:ID:GDR1_2163140453064444544.png,3
0.831:ID:GDR1_2162966798944719488.png,3
0.833:ID:FHK_213.png,3
0.834:ID:GDR1_2163140281266601728.png,3
0.836:ID:GDR1_2067069937403328128.png,3
0.836:ID:GDR1_2163137360688842752.png,3
0.838:ID:GDR1_2162940067068027264.png,3
0.838:ID:GDR1_2162969788241973632.png,3
0.839:ID:GDR1_2162924673904534272.png,3
0.841:ID:GDR1_2162121961697794304.png,3
0.844:ID:FHK_579.png,3
0.845:ID:FHK_362.png,2
0.845:ID:GDR2_2163136059317926016.png,3
0.851:ID:GDR1_2162886568955114112.png,3
0.852:ID:FHK_405.png,3
0.852:ID:GDR1_2162886775113495552.png,3
0.853:ID:GDR1_2162091003573281920.png,3
0.853:ID:GDR1_2163148596322501760.png,3
0.854:ID:GDR1_2162221811096717952.png,3
0.855:ID:GDR1_2067128795623856256.png,3
0.856:ID:2MASS_J20515226+4418213.png,3
0.858:ID:GDR1_2067032760152922112.png,3
0.858:ID:GDR1_2162240708953684992.png,3
0.859:ID:2MASS_J20505363+4424305.png,3
0.859:ID:FHK_390.png,3
0.860:ID:GDR1_2162221673657763584.png,3
0.861:ID:2MASS_J20505838+4414444.png,3
0.861:ID:FHK_47.png,3
0.861:ID:GDR1_2162948691363126144.png,3
0.862:ID:GDR1_2163148768121199360.png,3
0.863:ID:GDR1_2162955803828359040.png,3
0.866:ID:GDR1_2162221776736976896.png,3
0.870:ID:GDR1_2162951474504020224.png,3
0.871:ID:GDR1_2067034237622346240.png,3
0.873:ID:GDR1_2162967795377160064.png,3
0.873:ID:GDR2_2163137120170654720.png,3
0.875:ID:FHK_146.png,3
0.876:ID:GDR1_2162988101982678912.png,3
0.877:ID:GDR1_2163140246906862080.png,3
0.878:ID:2MASS_J20512139+4424054.png,3
0.878:ID:FHK_300.png,3
0.879:ID:FHK_101.png,3
0.879:ID:FHK_234.png,3
0.880:ID:FHK_438.png,3
0.880:ID:GDR1_2163135677060562176.png,3
0.883:ID:FHK_43.png,3
0.884:ID:GDR1_2163144644952565120.png,3
0.885:ID:GDR1_2067067807089176192.png,3
0.886:ID:GDR1_2162951027824541312.png,3
0.886:ID:GDR1_2162961267026674432.png,3
0.886:ID:GDR1_2162976419671618816.png,3
0.886:ID:GDR1_2163136123738466688.png,3
0.886:ID:GDR1_2163149317877028224.png,3
0.888:ID:GDR1_2162955185352996096.png,3
0.889:ID:FHK_35.png,3
0.889:ID:FHK_479.png,3
0.890:ID:FHK_142.png,3
0.891:ID:FHK_179.png,3
0.891:ID:GDR1_2162221639298015872.png,3
0.892:ID:GDR1_2067026815919131392.png,3
0.895:ID:FHK_210.png,3
0.895:ID:FHK_253.png,3
0.895:ID:GDR1_2162939208074527616.png,3
0.896:ID:FHK_21.png,3
0.897:ID:FHK_98.png,3
0.897:ID:GDR1_2163017101601143040.png,3
0.898:ID:FHK_22.png,3
0.898:ID:GDR1_2163138597639123456.png,3
0.899:ID:FHK_203.png,3
0.899:ID:GDR1_2163135367823138944.png,3
0.900:ID:GDR1_2162961541904548992.png,3
0.902:ID:FHK_327.png,3
0.902:ID:PSO_J205647.351+434127.587.png,3
0.904:ID:GDR1_2163144576233088640.png,3
0.905:ID:GDR1_2162935565942174208.png,3
0.906:ID:FHK_24.png,3
0.909:ID:GDR1_2163136192456870016.png,3
0.910:ID:GDR1_2162930652500328832.png,3
0.910:ID:GDR1_2162936665453858432.png,3
0.911:ID:2MASS_J20470481+4349114.png,3
0.912:ID:2MASS_J20511262+4418454.png,3
0.912:ID:GDR1_2162949378557115136.png,3
0.914:ID:GDR1_2162956903341232128.png,3
0.914:ID:GDR1_2163143717240796032.png,3
0.917:ID:FHK_123.png,3
0.917:ID:FHK_15.png,3
0.917:ID:GDR1_2162942918926094208.png,3
0.917:ID:GDR1_2163069500202546688.png,3
0.918:ID:GDR1_2162948141606527616.png,3
0.919:ID:GDR1_2162932993257907584.png,3
0.923:ID:GDR1_2162965699433784192.png,3
0.923:ID:GDR2_2162948455142499968.png,3
0.924:ID:GDR1_2162978172018122240.png,3
0.925:ID:GDR1_2162946080022052992.png,3
0.929:ID:2MASS_J20475581+4329019.png,3
0.929:ID:GDR1_2162239506362783488.png,3
0.933:ID:GDR1_2162227205576431488.png,3
0.936:ID:GDR1_2162945976943020416.png,3
0.939:ID:GDR1_2162939173714801152.png,3
0.940:ID:GDR1_2162122064777006080.png,3
0.941:ID:FHK_577.png,3
0.941:ID:GDR1_2163138361418522624.png,3
0.942:ID:FHK_165.png,3
0.942:ID:GDR1_2163136364255498624.png,3
0.943:ID:GDR1_2163138288400926464.png,3
0.944:ID:FHK_155.png,3
0.946:ID:FHK_524.png,3
0.951:ID:GDR1_2163149661474923520.png,3
0.956:ID:FHK_348.png,3
0.964:ID:GDR1_2162235726791704960.png,3
